Date,High,Low,Open,Close,Volume,Adj Close
09/05/2011,202.3600006,196.7799988,198.3399963,200.8000031,5825400,200.8000031
10/05/2011,205.2899933,201.5599976,201.9400024,203.9400024,5885900,203.9400024
11/05/2011,205.5,202.25,203.1199951,204.3800049,4809000,204.3800049
12/05/2011,206.1900024,200.6199951,204.2200012,206.0700073,4800000,206.0700073
13/05/2011,206.3899994,202.3600006,205.6999969,202.5599976,4123700,202.5599976
16/05/2011,200.8999939,191.3699951,200.5399933,192.5099945,9386400,192.5099945
17/05/2011,195.9799957,191.7599945,191.8200073,194.8099976,7073300,194.8099976
18/05/2011,198.2799988,193.25,194.1300049,197.0899963,4955800,197.0899963
19/05/2011,199.9499969,197.5500031,198.3300018,198.8000031,3701200,198.8000031
20/05/2011,199.8000031,197.2400055,197.9499969,198.6499939,3381000,198.6499939
